แพ็คเกจ	รหัสหลักสูตร	ชื่อหลักสูตร
Infrastructure (Energy&Power)	240FEGY01S00	การบริหารจัดการพลังงานให้เกิดประสิทธิภาพสูงสุด
Broadband	240NOSP01S00	NT km4u Blogger สร้างนักเขียนความรู้องค์กรเพื่อชาวเอ็นที
Finance	240FFIN02C00	Finance for Non-Finance
Broadband	240FMKT01S00	สัมมนาเชิงปฏิบัติการเรื่อง แผนการขายและแนวทางการทำตลาด ปี 2567 ภน.3
Digital	240FCOM01E00	Security and Personal Data Protection Act (PDPA) Foundation
Digital	240FBDA01V00	Apache Spark and Kafka for Stream Data Process (VC)
Infrastructure (Network)	242FNET01C00	วงจรระหว่างประเทศ (IPLC) 
Digital	242FOSP01W00	ICT Solution Business Bootcamp
Risk, Policy , Law and Compliance	242FMGT01V00	การบริหารความต่อเนื่องทางธุรกิจ (Business Continuity Management  BCM)
Digital	242FOSP02V00	แนวทางการขอปรับปรุงข้อมูลการพาดสายสื่อสารในระบบ TAMS ให้มีความถูกต้อง ระดับพื้นฐาน
Digital	240FCOM02V00	ความตระหนักรู้ด้านความปลอดภัยทางไซเบอร์ (Cyber Security Awareness) 
Marketing & Effective Communication 	240FMKT02C00	การขายออนไลน์เพื่อชุมชน
Digital	242FOSP03C00	แนวทางการขอปรับปรุงข้อมูลการพาดสายสื่อสารในระบบ TAMS ให้มีความถูกต้องระดับปฏิบัติ
เตรียมความพร้อมผู้บริหาร	240FMGT03I00	Vice President Advanced Development Program  (VP-ADP)
Mobile /Wireless	240FMGT01C00	เทคโนโลยี 5G เพื่อการขายและให้บริการ Solution
Risk, Policy , Law and Compliance	242FMGT02W00	หลักสูตร การอบรมเชิงปฏิบัติการ (Coaching Workshop) เพื่อยกประดับประสิทธิภาพการวางแผนเชิงยุทธศาสตร์  ด้าน Strategic Management (SM)
Marketing & Effective Communication 	240FMKT04V00	การบริหารลูกค้ารายหลัก  ( Key Account Management )
Marketing & Effective Communication 	240FMKT03S00	สัมมนาเชิงปฏิบัติการ Marketing Plan 2024 
ภาษาต่างประเทศ	240FLAG01C00	English for Satellite Operation Staff
Broadband	244FOSP01C00	MikroTik Certified  Routing Engineer (MTCRE)
Human Resource Management /Human Resource Development	240FHRX01C00	โครงการสัมมนาเพื่อสร้างการรับรู้แนวโน้มและนโยบายการบริหารทุนมนุษย์ขององค์กรและข้อมูลด้าน HR  สำหรับผู้บริหารที่ทำหน้าที่เป็น HR Agent ของสายงาน
Infrastructure (Network)	240FEXC01C00	IMS and SBC Operation and Maintenance
Digital	242FOSP04W00	Cloud, Big Data and Smart Solutions
Digital	241FDGT01W00	Enterprise Architecture Intensive Workshop
Marketing & Effective Communication 	240FMGT02V00	NT CSR 2024 ภายใต้ โครงการ เพาะพันธุ์ดี NT Youth Club ประจำปี 2567
Risk, Policy , Law and Compliance	240FMGT01W00	การอบรมเชิงปฏิบัติการ (Coaching Workshop) เพื่อยกระดับประสิทธิภาพ การวางแผนเชิงยุทธศาสตร์  ด้าน Strategic Management (SM)  หัวข้อ การวิเคราะห์ SA, SC, SOp, CC, FCC
Digital	240FDGT03I00	โครงการ NT Data Analytics Hackathon 2024
Digital	240FDGT02C00	การใช้ Slack เพื่อการสื่อสารและทำงานเป็นทีม
Human Resource Management /Human Resource Development	240FHRM01C00	ปฐมนิเทศ (Orientation Program)
Human Resource Management /Human Resource Development	240FFIN03C00	ครบเครื่องเรื่องการออมและลงทุน
Risk, Policy , Law and Compliance	242FMGT03W00	การอบรมเชิงปฏิบัติการ (Coaching Workshop) เพื่อยกระดับประสิทธิภาพ การวางแผนเชิงยุทธศาสตร์  ด้าน Strategic Management (SM) Module 2 
Good Governance and Corporate Social Responsibility	242FMGT04S00	โค้ช STRONG   องค์กรพอเพียงต้านทุจริต
Digital	240FDGT04C00	เตรียมความพร้อมเพื่อรองรับเทคโนโลยี Data Science และ AI และการประยุกต์ใช้งานด้านเครือข่ายสารสนเทศ
Essential Skills & Mindset	240FCUS01V00	การใช้ระบบงาน NTSP
Marketing & Effective Communication 	240FMKT05V00	เทคโนโลยี AI เพื่อการสื่อสารและประชาสัมพันธ์
Infrastructure (Energy&Power)	240FPOW02C00	แนะนำระบบพื้นฐานการกำลัง
Essential Skills & Mindset	240FCUS02V00	การนำเข้าข้อมูลระบบ NTSP     
Risk, Policy , Law and Compliance	240FSEC01C00	การปฏิบัติตาม พ.ร.บ.การรักษาความมั่นคงปลอดภัยไซเบอร์ พ.ศ. 2562 (สำหรับคณะทำงานฯ ปี 2567)
Digital	240FDGT01C00	การบริหารและจัดการโครงการเป็นทีม ด้วย Trello
ภาษาต่างประเทศ	241FLAG01V00	การพัฒนาทักษะภาษาอังกฤษด้วยแพลตฟอร์มออนไลน์
Infrastructure (Energy&Power)	240FPOW01C00	ระบบเครื่องปรับอากาศทั่วไป
Digital	240FITS01C00	Docker Container Fundamentals (3วัน)
เตรียมความพร้อมผู้บริหาร	240FMGT05C00	Public Speaking
Risk, Policy , Law and Compliance	240FMGT04C00	NEW GLOBAL INTERNAL AUDIT STANDARDS 2025 สู่แผนการปรับตัวงานตรวจสอบใหม่และแนวปฏิบัติใหม่สำหรับหน่วยงานภาครัฐ 
Digital	241FDGT02C00	การอบรมด้านการจัดการนวัตกรรมสำหรับบริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)
Digital	240FDEV02V00	พัฒนา Web Application ด้วย Yii Framework
Digital	240FSEC02S00	สร้างเกราะป้องกันให้ระบบ : เรียนรู้วิธีตั้งค่าระบบที่ปลอดภัยสำหรับผู้ดูแลระบบ (secure configuration) 
Finance	240FFIN01C00	การวิเคราะห์ความคุ้มค่าการลงทุน ของแผนงาน
เตรียมความพร้อมผู้บริหาร	240FMGT06C00	การเขียนหนังสือราชการ
Digital	240FDGT06C00	Build AI Applications using LLMs: from Theory to Practice
Digital	242FDGT01C00	การอบรมเชิงปฏิบัติการ (Workshop) บริการ NT Event WiFi     
Essential Skills & Mindset	240FDGT07C00	การ Cleansing Port ของ  Section B ในระบบ NTSP
Digital	242FOSP05V00	รูปแบบการให้บริการ Smart Digital Prime เพื่อเพิ่มลูกค้ากลุ่มองค์กรในพื้นที่
Marketing & Effective Communication 	240FSER01V00	การสื่อสารที่มีประสิทธิภาพ
Marketing & Effective Communication 	240FMKT07C00	Digital Marketing  & Digital Communications
Team Collaboration	240CMGT01C00	การขับเคลื่อนองค์กรด้วย PRIDED มุ่งสู่เป้าหมายเดียวกัน
Finance	240FFIN04E00	ครบเครื่องเรื่องการออมและลงทุน E-Learning
Marketing & Effective Communication 	240FMKT06C00	เทคโนโลยี AI  เพื่อการสื่อสารและงานประชาสัมพันธ์
Risk, Policy , Law and Compliance	241FSAF01V00	หลักสูตร การปลูกฝังพฤติกรรมด้านความปลอดภัย (BBS) และการฝึกหยั่งรู้ระวังภัย (อันตรายล่วงหน้า) (KYT) ในการทำงาน 
Finance	240FFIN05C00	ใช้เงินอย่างไรหลังเกษียณ อย่างมีความสุข  Happy Money, Happy Retirement
Digital	240FDGT05C00	การใช้ Microsoft Power BI ในการคำนวณ วิเคราะห์ข้อมูล และสร้างรายงาน 
Risk, Policy , Law and Compliance	240FSAF01C00	ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงานสำหรับพนักงาน 
Marketing & Effective Communication 	240FSEL01C00	การเจรจาต่อรองและโน้มน้าวใจในงานขาย 
Digital	240FDEV01C00	Introduction to Software Architecture and Design Patterns
Essential Skills & Mindset	240FDES01C00	Innovation and Process Improvement Through Design Thinking 
Infrastructure (Network)	240FSEL02C00	"	 NT SALES - การพัฒนาทีมขายเพื่อรองรับการให้บริการ 5G Private Network"
Digital	242FSEC01S00	สัมมนาหลักสูตร NT Cyber Security Day 2024 หัวข้องานปลดล็อกกลโกง ป้องกันภัยจากแก๊ง Call Center
Infrastructure (Network)	240FNET01C00	การติดตั้งและบำรุงรักษาระบบเครือข่ายกล้องวงจรปิดเมืองอัจฉริยะ
Marketing & Effective Communication 	240FMGT07C00	การวางแผนกลยุทธ์การตลาดและลูกค้า
Team Collaboration	240CMGT02C00	ปลุกพลังนักสู้ NT 
Digital	240FDGT08C00	Introduction to Core Digital Technologies
Risk, Policy , Law and Compliance	241FSAF02C00	จิตสำนึกความปลอดภัยสำหรับผู้บริหาร
Digital	242FMGT05V00	การบริหารจัดการทรัพย์สินด้านเทคโนโลยีสารสนเทศ (IT Asset Management)
Risk, Policy , Law and Compliance	240FSAF02C00	การฝึกซ้อมดับเพลิงและอพยพหนีไฟ สถาบันวิชาการ (สก.) ประจำปี 2567
Risk, Policy , Law and Compliance	240FCGG01C00	การบริหารความเสี่ยงการทุจริต (Corruption Risk Assessment)
Risk, Policy , Law and Compliance	241FSAF05C00	คณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน
Risk, Policy , Law and Compliance	241FSAF04C00	หลักสูตรเจ้าหน้าที่ความปลอดภัยในการทำงานระดับหัวหน้างาน
Risk, Policy , Law and Compliance	241FSAF03C00	หลักสูตร เจ้าหน้าที่ความปลอดภัยในการทำงานระดับบริหาร 
Finance	240FAFS01V00	การจัดซื้อจัดจ้างและการบริหารพัสดุ
Essential Skills & Mindset	240CDEV01C00	สัมมนา พลิกโฉมการบริหารงานด้วย GenAI  เสริมศักยภาพองค์กรสู่ความสำเร็จ รุ่นที่ 1 
Digital	240FITS02V00	SAP HANA - FI
กฎหมาย	255NLAW01C00	กฎหมายปกครองและวิธีพิจารณาคดีปกครอง (ก.ศ.ป.)
Technology and Digital	255NTRX01C00	สัมมนา Building a Collaborative Ecosystem for Non-Terrestrial Network Success
Technology and Digital	255NTRX02C00	Asia-Pacific Satellite Communications Council 2024 (APSCC 2024) 
Technology and Digital	255NTRX03C00	Thailand Space Week 
Human Resource Management /Human Resource Development	252FHRX01V00	SAP HANA (HRM)
การกำลังและพลังงาน	255NPOW01C00	ช่างเดินสายไฟฟ้าในอาคาร (ELE) ระดับ 1
การบริหารและจัดการ	255NMGT03C00	Data Governance in Action Class & Workshop
ภาษาต่างประเทศ	250FLAG01C00	English for Data Interchange Products Staff
คุณภาพ มาตรฐาน และความปลอดภัย	255NSEC01C00	Certified in Cybersecurity (CC) เตรียมพร้อมสู่การสอบใบประกาศนียบัตรระดับสากล
การกำลังและพลังงาน	255NOSP01C00	การทำงานเกี่ยวกับสายสื่อสารของหน่วยงานภายนอกบนเสาไฟฟ้าของ กฟภ.
Broadband	252FOSP01C00	การประยุกต์ใช้งานเครื่องมือ OTDR
การบริหารและจัดการ	255NMGT01E00	การจัดการความรู้ 
Technology and Digital	255NDGT01C00	ศึกษาดูงานในงานนิทรรศการอวกาศ Space Journey Bangkok
Essential Skills & Mindset	250LMGT01C00	การบริหารจัดการกลยุทธ์และการนำเทคโนโลยีมาประยุกต์ใช้เพื่อเพิ่มศักยภาพ
Essential Skills & Mindset	250FMGT04C00	กลยุทธ์การตลาดแบบก้าวข้ามขีดจำกัด
Digital	250FITS01C00	แนวคิดพื้นฐานของระบบศูนย์ข้อมูลอินเทอร์เน็ต (Internet Data Center System)
Team Collaboration	250FDES01W00	โครงการประกวดการพัฒนา Gen AI เพื่อเพิ่มประสิทธิภาพการทำงานในกระบวนการต่างๆ ขององค์กร (AI*dea 2025)
Digital	250FSEC01C00	การปฏิบัติตาม พ.ร.บ.การรักษาความมั่นคงปลอดภัยไซเบอร์ พ.ศ. 2562 (สำหรับคณะทำงานฯ ปี 2568)
การบริหารและจัดการ	250NTAX01C00	Fundamentals for New Auditor
การบริหารและจัดการ	255NTAX02V00	IT Auditor for Non IT Auditor
Broadband	252FOSP02S00	สัมมนาเชิงปฏิบัติการจัดทำ(ร่าง)มาตรฐานข่ายสาย NT- Optical Distribution Network (ODN) 
Technology and Digital	250NDEV01C00	Advanced RAG for LLMs Application
Project Management	250FMGT02C00	Project Management Fundamental (PMF)
การบริหารและจัดการ	255NMGT02C00	Knowledgement Management and Organization Innovation Management
การบริหารและจัดการ	250NMGT01C00	Knowledge Management and Organizational Innovation Management
Digital	250FDGT02C00	Understanding LLM and Implementing RAG for supporting IP Network
Good Governance and Corporate Social Responsibility	250CMKT02V00	NT CSR 2025 ภายใต้โครงการ เพาะพันธุ์ดี NT Youth Club ประจำปี 2568
Team Collaboration	250LGEN01S00	สัมมนาเชิงปฏิบัติการเรื่อง Next challenge in Leadership: Humanity and Empathy
Digital	250FDGT01C00	การสร้างแอปพลิเคชัน AI โดยใช้ Agentic AI และ LLMs สำหรับระบบ BSS/OSS ในอุตสาหกรรมโทรคมนาคม
Risk, Policy , Law and Compliance	251FSAF01C00	ผู้บังคับปั้นจั่น ผู้ให้สัญญาณแก่ผู้บังคับปั้นจั่น ผู้ยึดเกาะวัสดุและผู้ควบคุมการปั้นจั่น สำหรับปั้นจั่นชนิดเคลื่อนที่
